time_au,cl_z,cl_vz
12.68,17.33428005106298,2.416022027183411
12.7,17.38259758668955,2.415732004983488
12.72,17.43090933126232,2.415444565028979
12.74,17.47921536929071,2.41515998400416
12.76,17.52751573062249,2.414877222418646
12.78,17.57581045818745,2.414594392461466
12.8,17.62409950632095,2.414312108315163
12.82,17.67238294252006,2.414032034789373
12.84,17.72066078771253,2.413751130674773
12.86,17.76893298774705,2.413470012587155
12.88,17.81719958821601,2.413190677907675
12.9,17.86546061486336,2.412912327573012
12.92,17.91371608131893,2.412635048390541
12.94,17.96196601679898,2.412358892070349
12.96,18.01021043700175,2.412085452770009
12.98,18.05844943490978,2.41181292644729
13.0,18.10668295405964,2.411540275309777
13.02,18.15491104592218,2.411269381849762
13.04,18.20313372933364,2.410998373531387
13.06,18.25135098086343,2.410726963286429
13.08,18.29956280786509,2.410456922274002
13.1,18.34776925775439,2.410187486883999
13.12,18.39597030734045,2.409917748975966
13.14,18.44416596771343,2.409649591765852
13.16,18.49235629101108,2.40938450256703
13.18,18.54054134781611,2.409120131239127
13.2,18.58872109626065,2.408853839636609
13.22,18.63689550140158,2.408588835692144
13.24,18.68506464968834,2.40832570593916
13.26,18.73322852963914,2.408060851612833
13.28,18.78138708375285,2.407795633844697
13.3,18.82954035499293,2.407531677052234
13.32,18.87768835083494,2.40726896002211
13.34,18.92583111339382,2.407008417910679
13.36,18.97396868755137,2.406748988558442
13.38,19.02210107293615,2.406490539815709
